I_Escolaridad,INCLUSION,CULTURA,INDER,EDUCACION SUPERIOR,PARTICIPACION,MEDIO AMBIENTE,SEGURIDAD,SALUD,INFRAESTRUCTURA,DESARROLLO ECONOMICO
1,62058.104260997614,12108.104794772686,19126.75161052825,35707.712129578504,0.0,11070.264927296152,0.0,0.0,23007.546475243882,0.0
1,46203.90789102423,21396.71076694778,18492.726630508616,38033.87988421063,7053.9549173903515,12017.849118516891,6897.200363670565,0.0,0.0,8360.24286505523
1,42483.31066356161,13878.180883790466,25091.508423897416,16894.514404002068,6249.757036685642,0.0,3953.194180898165,8382.927951239146,17969.064458628025,7906.388361796329
1,11009.007815610266,0.0,17461.148943600492,0.0,0.0,0.0,0.0,558.7567661952156,9788.627532739654,0.0
2,18115.55047155909,15069.770350722076,10316.691674034775,40722.41522988506,6651.865163572061,13999.41055113469,6631.29973474801,0.0,0.0,12157.38284703802
1,16194.571500701592,15058.960992678789,11200.025045941045,23228.806425287832,7821.261044931221,6458.16576350197,6458.16576350197,8041.003481538452,0.0,9158.853264602794
2,25221.971208888423,11919.403804121564,0.0,42023.57410491257,5854.496253122397,4553.4970857618655,3837.9475437135716,9396.466486261448,0.0,1626.248959200666
1,28217.258928871983,14700.933450028611,18480.228220621404,28596.374591847038,4279.657597535935,4207.762480223516,5385.935974686101,0.0,0.0,0.0
2,15474.774511075795,14324.167953167063,17819.804673564042,23898.09619563455,8108.195764278533,9729.834917134242,0.0,0.0,0.0,0.0
3,26630.26879414733,8766.397578203834,3762.2284434914227,21546.417759838547,17090.072855701314,0.0,0.0,18355.196770938444,0.0,8694.277245206862
3,9456.646322647008,11772.738762214984,13342.313106463227,15965.198011314931,0.0,11143.493913937937,4285.959197668438,7878.707354705984,0.0,5143.151037202126
3,8268.383825975408,23421.19592985966,16065.05013751943,9050.19187493885,16444.647156663446,19024.427364736322,0.0,15935.947470838271,2391.642297281137,6522.66081076674
2,39099.908221508864,21680.154824866524,61457.09311116513,20720.538643354652,7447.149670184143,5028.958418895473,5867.118155378052,32824.011600130754,0.0,0.0
3,5712.3141309305665,2560.676018468876,9897.050525338691,27525.66677602888,0.0,3200.845023086095,0.0,0.0,0.0,4801.267534629142
2,22793.852637969347,11572.891434331399,12170.432074866556,38751.68953746764,3470.710865730453,20622.666147396398,5727.245653020549,23777.233053080112,0.0,0.0
3,14255.510716588478,8380.613357938502,9159.287897147431,29929.7418680659,4724.637036707651,10283.033550481356,3335.0379082642244,0.0,0.0,0.0
1,105239.97290640394,82358.37438423645,0.0,363208.12807881774,21639.587438423645,92364.53201970443,0.0,0.0,0.0,284790.6403940887
1,29008.836092246747,12266.23990756461,17106.714546783627,48231.46576117714,7074.136955291455,0.0,8253.159781173363,20010.77626862856,0.0,16211.56385587625
1,33510.787715745246,31293.356225251635,51094.27183145422,35365.5956231297,0.0,43838.921440014514,0.0,20091.40646253363,30227.004806093766,30227.004806093766
2,46545.05771750461,17243.910808045064,19839.713449565326,35135.47116037528,7367.034391407887,12432.933885483115,4781.897648262737,0.0,0.0,19127.590593050947
2,224769.30810464371,80230.72889355008,0.0,99149.33286721435,10522.691487502183,96079.6908465886,23305.94884344229,72318.35926120143,0.0,58090.0774922799
