,Numero,Poblacion,COMUNICACIONES,CULTURA,DAGRD,DESARROLLO ECONOMICO,EDUCACION,EDUCACION SUPERIOR,GESTION Y CONTROL,INCLUSION,INDER,INFRAESTRUCTURA,ISVIMED,JUVENTUD,MEDIO AMBIENTE,MOVILIDAD,MUJERES,PARTICIPACION,SALUD,SEGURIDAD
0,1,108660.0,3642.6870329468065,12108.104794772686,11043.622308117063,0.0,0.0,35707.712129578504,0.0,62058.10426099761,19126.751610528252,23007.54647524388,0.0,4586.789618995031,11070.264927296153,0.0,6442.113013068287,0.0,0.0,0.0
1,2,95691.0,3252.9429517927497,21396.71076694778,0.0,8360.24286505523,0.0,38033.87988421063,0.0,46203.90789102423,18492.726630508616,0.0,0.0,0.0,12017.849118516893,0.0,0.0,7053.954917390351,0.0,6897.200363670565
2,3,139128.0,2383.1455566097407,13878.180883790466,0.0,7906.388361796331,3593.8128917256054,16894.51440400207,0.0,42483.31066356161,25091.50842389742,17969.064458628025,0.0,0.0,0.0,0.0,0.0,6249.757036685642,8382.927951239146,3953.1941808981655
3,4,143175.0,0.0,0.0,0.0,0.0,19207.263837960538,0.0,18404.926069495374,11009.007815610266,17461.14894360049,9788.627532739654,7116.691210057622,7786.738425004365,0.0,0.0,9753.725496769688,0.0,558.7567661952156,0.0
4,5,135720.0,0.0,15069.770350722074,0.0,12157.38284703802,2947.2443265546713,40722.41522988506,0.0,18115.55047155909,10316.691674034777,0.0,0.0,0.0,13999.41055113469,0.0,0.0,6651.86516357206,0.0,6631.29973474801
5,6,170327.0,0.0,15058.960992678789,0.0,9158.853264602794,2348.423914000716,23228.80642528783,0.0,16194.571500701592,11200.025045941044,0.0,8978.072149453697,0.0,6458.16576350197,16615.09919155507,2436.489810775743,7821.261044931221,8041.003481538452,6458.16576350197
6,7,153728.0,1350.3542165383014,11919.403804121564,8983.39925062448,1626.2489592006661,0.0,42023.57410491257,0.0,25221.971208888426,0.0,0.0,0.0,0.0,4553.4970857618655,0.0,0.0,5854.496253122398,9396.466486261448,3837.947543713572
7,8,118828.0,2276.9426902750192,14700.933450028613,0.0,0.0,0.0,28596.374591847038,0.0,28217.258928871983,18480.228220621404,0.0,12869.088893190157,0.0,4207.762480223516,0.0,0.0,4279.657597535935,0.0,5385.935974686101
8,9,123332.0,0.0,14324.167953167062,0.0,0.0,0.0,23898.09619563455,0.0,15474.774511075795,17819.80467356404,0.0,0.0,0.0,9729.83491713424,0.0,0.0,8108.195764278533,0.0,0.0
9,10,79280.0,22246.505171543897,8766.397578203834,0.0,8694.277245206862,5045.408678102926,21546.417759838547,0.0,26630.268794147327,3762.2284434914227,0.0,0.0,0.0,0.0,0.0,0.0,17090.072855701314,18355.196770938444,0.0
10,11,116660.0,1332.598157037545,11772.738762214984,0.0,5143.151037202126,4285.959197668438,15965.198011314933,0.0,9456.646322647008,13342.313106463227,0.0,0.0,0.0,11143.493913937938,0.0,0.0,0.0,7878.707354705984,4285.959197668438
11,12,91987.0,2389.3331449009097,23421.195929859656,0.0,6522.660810766739,0.0,9050.19187493885,0.0,8268.38382597541,16065.050137519433,2391.6422972811374,0.0,0.0,19024.427364736322,0.0,0.0,16444.647156663443,15935.947470838271,0.0
12,13,119309.0,4327.779346067774,21680.154824866524,0.0,0.0,7329.02128087571,20720.538643354652,0.0,39099.90822150886,61457.09311116512,0.0,0.0,10635.159518561048,5028.958418895473,22630.31288502963,0.0,7447.149670184143,32824.011600130754,5867.118155378052
13,14,124967.0,0.0,2560.676018468876,1600.4225115430474,4801.267534629142,4230.597997871438,27525.666776028873,0.0,5712.314130930566,9897.05052533869,0.0,562.1223362967824,2756.0164523434187,3200.845023086095,14323.781478310273,2184.4096761545047,0.0,0.0,0.0
14,15,87302.0,3172.0885432177956,11572.8914343314,0.0,0.0,5727.245653020549,38751.68953746764,0.0,22793.852637969347,12170.432074866556,0.0,0.0,11329.521889532885,20622.666147396394,3779.9821309935624,0.0,3470.710865730453,23777.233053080112,5727.245653020549
15,16,179908.0,0.0,8380.613357938502,3335.037908264224,0.0,0.0,29929.7418680659,0.0,14255.510716588478,9159.287897147431,0.0,0.0,0.0,10283.033550481357,0.0,2517.953620739489,4724.637036707651,0.0,3335.037908264224
16,50,6496.0,0.0,82358.37438423645,24630.54187192118,284790.6403940887,0.0,363208.12807881774,470443.3497536946,105239.97290640394,0.0,0.0,0.0,53699.043103448275,92364.53201970443,0.0,0.0,21639.587438423645,0.0,0.0
17,60,84816.0,1382.9456706281833,12266.23990756461,8253.159781173363,16211.56385587625,0.0,48231.46576117714,0.0,29008.836092246747,17106.714546783627,0.0,0.0,0.0,0.0,0.0,0.0,7074.136955291455,20010.77626862856,8253.159781173363
18,70,33083.0,0.0,31293.35622525164,0.0,30227.004806093762,4534.050720914064,35365.5956231297,0.0,33510.787715745246,51094.27183145422,30227.004806093762,0.0,0.0,43838.92144001451,45340.50720914065,0.0,0.0,20091.40646253363,0.0
19,80,104561.0,0.0,17243.910808045064,0.0,19127.590593050947,0.0,35135.47116037528,11782.595805319383,46545.05771750461,19839.713449565326,0.0,22265.411558802996,0.0,12432.933885483115,11476.554355830567,3541.664674209313,7367.034391407887,0.0,4781.897648262737
20,90,17163.0,0.0,80230.72889355008,0.0,58090.0774922799,0.0,99149.33286721435,0.0,224769.30810464371,0.0,0.0,0.0,17461.982170949133,96079.6908465886,67616.38408203694,0.0,10522.691487502185,72318.35926120142,23305.94884344229
